Cost_Tier,Patient_Volume,Avg_Age,Avg_Treatment_Cost,Median_Treatment_Cost,Std_Treatment_Cost,Min_Treatment_Cost,Max_Treatment_Cost,High_Cost_Patient_Rate,Recovery_Rate,Mortality_Rate,Under_Treatment_Rate,Insurance_Coverage_Rate,Private_Hospital_Rate,Financial_Distress_Rate,Vulnerable_Patient_Rate,Avg_Doctor_Availability,Avg_Cleanliness_Score,Avg_Doctor_Experience,Avg_Operational_Index,Volume_Share_Pct
High,6000,52.33,27498.09,27262.44,3857.13,20576.42,36860.97,0.0,82.1,4.6,13.3,33.7,66.67,48.55,9.6,5.74,2.8,19.1,0.51,25.0
Low,6000,47.35,11105.42,11114.12,3151.09,1080.55,18237.53,0.0,82.4,2.9,14.7,33.2,66.67,0.0,8.95,5.09,2.61,18.77,0.47,25.0
Medium,6000,50.21,20109.82,19868.08,3096.76,14028.97,26748.34,0.0,84.0,3.25,12.75,31.7,66.67,6.67,10.45,5.05,2.6,18.66,0.47,25.0
Very High,6000,54.5,40684.56,38970.42,7662.9,28355.7,72926.06,40.0,81.75,8.75,9.5,34.55,66.67,65.45,8.0,6.66,3.1,19.16,0.56,25.0
